supplier_name,revenue
"Stevenson, Evans and Rogers",6292267.03
"Cole, Pierce and Bryan",6250382.34
"Wheeler, Rocha and Rodriguez",6211908.79
Young-Hendricks,6183251.32
"Hendricks, Henry and Martinez",6168250.01
"Murray, Dunn and Roberts",6138445.57
Keith-Sanchez,6137192.98
"George, Nguyen and Cruz",6115234.23
Ferguson-Moody,6102477.19
"Thomas, White and Jensen",6098991.67
"Young, Reese and Mccall",6077135.2
"Harper, Chambers and Flores",6016670.49
Walker and Sons,5997235.74
Allen-Sandoval,5948462.93
Murphy-Tran,5935198.99
Mendez-Robinson,5931232.93
"Powers, Clements and Cox",5929027.19
Chavez-Barker,5857971.43
Dillon Group,5854056.44
"Santos, Moody and Taylor",5847667.02
"Thompson, Maxwell and Marshall",5842108.28
Leonard Group,5841290.23
"Chavez, Parker and Hall",5838981.45
Hall and Sons,5830909.95
"Stone, Carpenter and Johnston",5822651.42
Green-Dawson,5817021.75
Reyes-Washington,5814794.79
Bradley-Todd,5797538.82
Phillips-Gonzalez,5793342.37
"Ray, Cunningham and Levine",5783329.38
Brown-Frey,5776478.7
Lopez-Holmes,5755202.53
Wilkerson Group,5745635.36
Conway Ltd,5728028.63
"Torres, Bush and Morrison",5708484.66
Munoz-Roman,5705659.87
"Stevens, Norris and Cox",5697482.3
"Hicks, Frazier and Anthony",5675766.37
Lewis-Salinas,5669761.03
Brown-Kim,5638756.25
"Johnston, Sanchez and Kennedy",5632783.39
"Barnett, Rogers and Snyder",5617376.15
"Young, Caldwell and Lewis",5608736.62
"Wolfe, Sloan and Johnson",5607203.44
"Mcknight, Michael and Jones",5601328.83
"Sanchez, Beck and Wood",5589230.22
Jackson Group,5580938.24
Lozano-Watts,5576928.91
Ware and Sons,5569657.87
Ford-Frazier,5547233.49
Wilkerson-Arias,5529379.22
Stanley-Wright,5528298.45
Cox-Smith,5528259.54
Daniels-Perry,5490560.56
"Davis, Johnson and Williams",5486339.05
"Hernandez, Martinez and Caldwell",5469147.62
"Mcpherson, Anderson and Knapp",5438036.01
Soto-Lopez,5424180.96
Coleman-Reese,5423088.44
Vaughn Ltd,5396736.69
"Fitzgerald, Brown and Edwards",5359507.72
Phillips-Brown,5355466.63
"Webb, Carroll and Kim",5342678.42
Williams-Moses,5335008.9
"Miller, Lopez and Larson",5286230.23
Silva LLC,5272951.93
"Jones, Gibson and Ward",5263860.69
"Stewart, Robinson and White",5262279.82
"Johnson, Small and Gardner",5231179.39
Alexander-Jordan,5222490.45
Gonzalez-Morrison,5204945.85
"Myers, Gamble and Sanford",5119507.71
"Holland, Smith and Fisher",5085180.61
"Jones, Hale and Blair",5085008.73
"Morris, Wright and Bridges",5077105.22
"Winters, Morgan and Bradshaw",5076624.31
Warren Inc,5049421.25
Hayes-Brown,5041906.6
Mckinney-Powell,5023935.73
Gross PLC,4964224.78
"Alexander, Robinson and Coleman",4959414.52
Garcia Group,4929138.96
Banks-Thompson,4857332.99
Campos Inc,4831547.42
Delgado-Gilmore,4830341.99
"Pollard, Simpson and Johnson",4548689.12
Parrish-Griffith,4540793.86
Henderson-Morales,4440713.68
Hensley-Flores,4340274.73
Nelson LLC,4194720.91
Alexander-Brown,3528958.24
Wilson-Young,3453708.88
Bryant-Meyer,3445312.36
"Haynes, Barnes and Roach",3440889.46
Richards-Carson,3412508.48
"Osborn, Gaines and Davis",3333411.21
Cook-Hines,3312773.3
"Haynes, Hill and Smith",3311218.01
May Ltd,3309436.4
Dunn-Wilson,3246459.52
"Padilla, Garcia and Jackson",3185747.65
"James, Kerr and Evans",3098874.55
Malone and Sons,3084349.62
"Montgomery, Hensley and Ray",3079421.06
Sanchez Inc,3064526.02
Odom PLC,2995096.76
Ellis-Lawrence,2939371.99
Hughes-Frye,2902989.45
"Anderson, Browning and Murphy",2887063.99
Chavez Ltd,2840128.15
Rowland-Wells,2822975.24
"Mcbride, Byrd and Oliver",2816303.34
"Carter, York and Ruiz",2759539.62
"Daniels, Vance and York",2687504.96
"Leach, Harris and Herrera",2679184.21
"Brown, Ford and Roman",2618459.77
King-Smith,2495756.94
"Duke, Shelton and Davis",2452926.53
Herman-Arnold,2437758.47
Williams-Gonzales,2437474.05
Costa-Harrison,2432117.53
Burch-Montoya,2427438.02
"Gonzalez, Vargas and Rivas",2421536.57
"Santos, Kim and Holmes",2417247.42
Bell-White,2403524.18
"Richards, Haynes and Jones",2379018.56
"Griffith, Lee and Moore",2373421.58
Adams-Sanders,2343677.49
"Marsh, Spears and Yang",2336193.01
Summers-Simpson,2257240.68
Fernandez Inc,2171494.12
George Group,2153777.34
Obrien Ltd,2122171.53
"Farmer, Hill and Stuart",2090966.02
Simmons-Wilson,1932758.42
